2023-04-01-16-34: T_epoch: 29 |loss 1.323088 | hm_loss 0.296094 | wh_loss 2.763629 | off_loss 0.238769 | id_loss 2.182768 | time 7.516667 | 
2023-04-01-16-42: T_epoch: 30 |loss 1.305091 | hm_loss 0.306849 | wh_loss 2.771769 | off_loss 0.237180 | id_loss 2.124165 | time 7.500000 | 
2023-04-01-16-43: V_epoch: 30 |loss 8.597023 | hm_loss 3.077694 | wh_loss 5.938584 | off_loss 0.256339 | id_loss 19.065601 | time 0.883333 | 
2023-04-01-16-50: T_epoch: 31 |loss 1.267922 | hm_loss 0.287532 | wh_loss 2.725515 | off_loss 0.238869 | id_loss 2.072673 | time 7.483333 | 
2023-04-01-16-58: T_epoch: 32 |loss 1.215195 | hm_loss 0.291931 | wh_loss 2.709981 | off_loss 0.236714 | id_loss 1.899876 | time 7.500000 | 
2023-04-01-17-05: T_epoch: 33 |loss 1.192778 | hm_loss 0.287889 | wh_loss 2.738694 | off_loss 0.237418 | id_loss 1.828286 | time 7.416667 | 
2023-04-01-17-06: V_epoch: 33 |loss 8.178307 | hm_loss 3.203152 | wh_loss 5.750623 | off_loss 0.264514 | id_loss 18.528521 | time 0.866667 | 
2023-04-01-17-14: T_epoch: 34 |loss 1.121954 | hm_loss 0.248886 | wh_loss 2.670409 | off_loss 0.238109 | id_loss 1.690677 | time 7.500000 | 
2023-04-01-17-21: T_epoch: 35 |loss 1.108293 | hm_loss 0.252544 | wh_loss 2.670469 | off_loss 0.236107 | id_loss 1.639809 | time 7.566667 | 
2023-04-01-17-29: T_epoch: 36 |loss 1.113800 | hm_loss 0.272874 | wh_loss 2.701814 | off_loss 0.235906 | id_loss 1.605759 | time 7.533333 | 
2023-04-01-17-30: V_epoch: 36 |loss 9.587609 | hm_loss 4.333974 | wh_loss 6.195001 | off_loss 0.267834 | id_loss 20.496779 | time 0.850000 | 
2023-04-01-17-37: T_epoch: 37 |loss 1.052888 | hm_loss 0.231423 | wh_loss 2.581077 | off_loss 0.237102 | id_loss 1.519415 | time 7.433333 | 
2023-04-01-17-45: T_epoch: 38 |loss 1.024232 | hm_loss 0.223871 | wh_loss 2.622587 | off_loss 0.236573 | id_loss 1.435125 | time 7.533333 | 
2023-04-01-17-52: T_epoch: 39 |loss 0.955857 | hm_loss 0.197814 | wh_loss 2.543776 | off_loss 0.234029 | id_loss 1.297951 | time 7.400000 | 
2023-04-01-17-53: V_epoch: 39 |loss 9.079155 | hm_loss 3.642995 | wh_loss 6.573316 | off_loss 0.265294 | id_loss 18.957176 | time 0.916667 | 
2023-04-01-18-00: T_epoch: 40 |loss 0.992447 | hm_loss 0.234903 | wh_loss 2.627994 | off_loss 0.234586 | id_loss 1.322085 | time 7.433333 | 
2023-04-01-18-08: T_epoch: 41 |loss 0.969885 | hm_loss 0.227418 | wh_loss 2.604361 | off_loss 0.234272 | id_loss 1.279433 | time 7.583333 | 
2023-04-01-18-16: T_epoch: 42 |loss 0.892954 | hm_loss 0.190585 | wh_loss 2.517994 | off_loss 0.233800 | id_loss 1.149601 | time 7.450000 | 
2023-04-01-18-16: V_epoch: 42 |loss 9.700128 | hm_loss 4.545535 | wh_loss 6.209290 | off_loss 0.271456 | id_loss 17.568738 | time 0.866667 | 
2023-04-01-18-24: T_epoch: 43 |loss 0.873873 | hm_loss 0.216168 | wh_loss 2.514292 | off_loss 0.233009 | id_loss 1.055260 | time 7.500000 | 
2023-04-01-18-31: T_epoch: 44 |loss 0.829680 | hm_loss 0.182868 | wh_loss 2.486298 | off_loss 0.232482 | id_loss 1.017190 | time 7.500000 | 
2023-04-01-18-39: T_epoch: 45 |loss 0.807658 | hm_loss 0.182968 | wh_loss 2.514345 | off_loss 0.233205 | id_loss 0.963940 | time 7.450000 | 
2023-04-01-18-40: V_epoch: 45 |loss 10.731595 | hm_loss 4.626750 | wh_loss 6.961735 | off_loss 0.270841 | id_loss 18.141843 | time 0.866667 | 
2023-04-01-18-47: T_epoch: 46 |loss 0.790314 | hm_loss 0.183233 | wh_loss 2.491148 | off_loss 0.233885 | id_loss 0.934841 | time 7.483333 | 
2023-04-01-18-55: T_epoch: 47 |loss 0.752007 | hm_loss 0.172199 | wh_loss 2.473942 | off_loss 0.232972 | id_loss 0.875669 | time 7.533333 | 
2023-04-01-19-02: T_epoch: 48 |loss 0.737763 | hm_loss 0.170114 | wh_loss 2.474121 | off_loss 0.233138 | id_loss 0.857637 | time 7.483333 | 
2023-04-01-19-03: V_epoch: 48 |loss 11.152194 | hm_loss 4.049922 | wh_loss 6.428014 | off_loss 0.265014 | id_loss 18.338738 | time 0.850000 | 
2023-04-01-19-11: T_epoch: 49 |loss 0.712353 | hm_loss 0.169585 | wh_loss 2.432664 | off_loss 0.231842 | id_loss 0.820451 | time 7.483333 | 
2023-04-01-19-18: T_epoch: 50 |loss 0.668926 | hm_loss 0.167256 | wh_loss 2.419134 | off_loss 0.229569 | id_loss 0.744584 | time 7.433333 | 
2023-04-01-19-26: T_epoch: 51 |loss 0.486963 | hm_loss 0.107771 | wh_loss 2.070475 | off_loss 0.226495 | id_loss 0.511429 | time 7.450000 | 
2023-04-01-19-27: V_epoch: 51 |loss 11.388544 | hm_loss 4.222209 | wh_loss 6.791339 | off_loss 0.264972 | id_loss 17.000271 | time 0.833333 | 
2023-04-01-19-34: T_epoch: 52 |loss 0.444058 | hm_loss 0.089169 | wh_loss 1.961281 | off_loss 0.225387 | id_loss 0.472419 | time 7.450000 | 
2023-04-01-19-42: T_epoch: 53 |loss 0.408442 | hm_loss 0.078194 | wh_loss 1.913396 | off_loss 0.224376 | id_loss 0.427304 | time 7.500000 | 
2023-04-01-19-49: T_epoch: 54 |loss 0.386249 | hm_loss 0.077260 | wh_loss 1.886826 | off_loss 0.223231 | id_loss 0.392316 | time 7.416667 | 
2023-04-01-19-50: V_epoch: 54 |loss 11.699564 | hm_loss 4.206007 | wh_loss 7.157523 | off_loss 0.269821 | id_loss 17.218495 | time 0.900000 | 
