2023-04-01-20-50: T_epoch: 1 |loss 36.977887 | hm_loss 6.303326 | wh_loss 19.950341 | off_loss 0.263595 | id_loss 8.154228 | time 6.583333 | 
2023-04-01-20-56: T_epoch: 2 |loss 19.067209 | hm_loss 2.534809 | wh_loss 8.810772 | off_loss 0.255923 | id_loss 6.952748 | time 5.850000 | 
2023-04-01-21-02: T_epoch: 3 |loss 15.971233 | hm_loss 1.963797 | wh_loss 8.103200 | off_loss 0.253664 | id_loss 6.645809 | time 5.783333 | 
2023-04-01-21-03: V_epoch: 3 |loss 26.661593 | hm_loss 2.310222 | wh_loss 8.256115 | off_loss 0.251403 | id_loss 15.008138 | time 1.016667 | 
2023-04-01-21-09: T_epoch: 4 |loss 14.288058 | hm_loss 1.711133 | wh_loss 7.905911 | off_loss 0.252986 | id_loss 6.517620 | time 5.933333 | 
2023-04-01-21-15: T_epoch: 5 |loss 12.807155 | hm_loss 1.520710 | wh_loss 7.756570 | off_loss 0.251514 | id_loss 6.359028 | time 5.883333 | 
2023-04-01-21-21: T_epoch: 6 |loss 11.393211 | hm_loss 1.373955 | wh_loss 7.524928 | off_loss 0.250049 | id_loss 6.103326 | time 5.883333 | 
2023-04-01-21-21: V_epoch: 6 |loss 23.781357 | hm_loss 2.241935 | wh_loss 7.591777 | off_loss 0.254028 | id_loss 16.589638 | time 0.683333 | 
2023-04-01-21-27: T_epoch: 7 |loss 10.389707 | hm_loss 1.276956 | wh_loss 7.443239 | off_loss 0.251367 | id_loss 6.004058 | time 5.883333 | 
2023-04-01-21-33: T_epoch: 8 |loss 9.216123 | hm_loss 1.137090 | wh_loss 7.253879 | off_loss 0.248821 | id_loss 5.793407 | time 5.850000 | 
2023-04-01-21-39: T_epoch: 9 |loss 8.251262 | hm_loss 1.065467 | wh_loss 7.074557 | off_loss 0.248336 | id_loss 5.520678 | time 5.883333 | 
2023-04-01-21-40: V_epoch: 9 |loss 22.345210 | hm_loss 2.813989 | wh_loss 7.897499 | off_loss 0.257045 | id_loss 17.933042 | time 0.700000 | 
2023-04-01-21-45: T_epoch: 10 |loss 7.272740 | hm_loss 0.939701 | wh_loss 6.586281 | off_loss 0.250265 | id_loss 5.340619 | time 5.800000 | 
2023-04-01-21-51: T_epoch: 11 |loss 6.367140 | hm_loss 0.860179 | wh_loss 5.907001 | off_loss 0.248702 | id_loss 5.073641 | time 5.733333 | 
2023-04-01-21-57: T_epoch: 12 |loss 5.570503 | hm_loss 0.761605 | wh_loss 5.079165 | off_loss 0.248285 | id_loss 4.925383 | time 5.716667 | 
2023-04-01-21-58: V_epoch: 12 |loss 18.480012 | hm_loss 2.404975 | wh_loss 7.036403 | off_loss 0.253634 | id_loss 18.767566 | time 0.716667 | 
2023-04-01-22-04: T_epoch: 13 |loss 5.058072 | hm_loss 0.741657 | wh_loss 4.621931 | off_loss 0.247604 | id_loss 4.786623 | time 5.866667 | 
2023-04-01-22-09: T_epoch: 14 |loss 4.510251 | hm_loss 0.709149 | wh_loss 4.157011 | off_loss 0.244688 | id_loss 4.567305 | time 5.866667 | 
2023-04-01-22-15: T_epoch: 15 |loss 4.007834 | hm_loss 0.644097 | wh_loss 3.962341 | off_loss 0.244124 | id_loss 4.343467 | time 5.900000 | 
2023-04-01-22-16: V_epoch: 15 |loss 16.685266 | hm_loss 2.910547 | wh_loss 5.894904 | off_loss 0.256894 | id_loss 19.538203 | time 0.700000 | 
2023-04-01-22-22: T_epoch: 16 |loss 3.550999 | hm_loss 0.584175 | wh_loss 3.744517 | off_loss 0.244430 | id_loss 4.105380 | time 5.916667 | 
2023-04-01-22-28: T_epoch: 17 |loss 3.218002 | hm_loss 0.557907 | wh_loss 3.568918 | off_loss 0.243236 | id_loss 3.921878 | time 5.750000 | 
2023-04-01-22-34: T_epoch: 18 |loss 2.865335 | hm_loss 0.500233 | wh_loss 3.460272 | off_loss 0.240893 | id_loss 3.708433 | time 5.866667 | 
2023-04-01-22-34: V_epoch: 18 |loss 15.821378 | hm_loss 4.049707 | wh_loss 6.281553 | off_loss 0.254459 | id_loss 19.631986 | time 0.700000 | 
2023-04-01-22-40: T_epoch: 19 |loss 2.628783 | hm_loss 0.483310 | wh_loss 3.402597 | off_loss 0.241132 | id_loss 3.535536 | time 5.883333 | 
2023-04-01-22-46: T_epoch: 20 |loss 2.389749 | hm_loss 0.455165 | wh_loss 3.288176 | off_loss 0.241552 | id_loss 3.352964 | time 5.783333 | 
2023-04-01-22-52: T_epoch: 21 |loss 2.141111 | hm_loss 0.408229 | wh_loss 3.147508 | off_loss 0.239709 | id_loss 3.154713 | time 5.850000 | 
2023-04-01-22-53: V_epoch: 21 |loss 13.521878 | hm_loss 3.852331 | wh_loss 6.124437 | off_loss 0.253847 | id_loss 20.010619 | time 0.716667 | 
2023-04-01-22-59: T_epoch: 22 |loss 2.025472 | hm_loss 0.416604 | wh_loss 3.167588 | off_loss 0.240012 | id_loss 3.024260 | time 5.883333 | 
2023-04-01-23-04: T_epoch: 23 |loss 1.875936 | hm_loss 0.394231 | wh_loss 3.136721 | off_loss 0.239675 | id_loss 2.876511 | time 5.883333 | 
2023-04-01-23-10: T_epoch: 24 |loss 1.755715 | hm_loss 0.363180 | wh_loss 3.047515 | off_loss 0.239413 | id_loss 2.803520 | time 5.816667 | 
2023-04-01-23-11: V_epoch: 24 |loss 11.335033 | hm_loss 3.714175 | wh_loss 6.338129 | off_loss 0.251453 | id_loss 19.191672 | time 0.716667 | 
2023-04-01-23-17: T_epoch: 25 |loss 1.642645 | hm_loss 0.347854 | wh_loss 3.024502 | off_loss 0.238742 | id_loss 2.656546 | time 5.950000 | 
2023-04-01-23-23: T_epoch: 26 |loss 1.570504 | hm_loss 0.347552 | wh_loss 2.938111 | off_loss 0.240058 | id_loss 2.566670 | time 5.800000 | 
2023-04-01-23-29: T_epoch: 27 |loss 1.467401 | hm_loss 0.320114 | wh_loss 2.883061 | off_loss 0.236293 | id_loss 2.433110 | time 5.783333 | 
2023-04-01-23-29: V_epoch: 27 |loss 10.663927 | hm_loss 4.243089 | wh_loss 6.639003 | off_loss 0.259956 | id_loss 19.562724 | time 0.733333 | 
2023-04-01-23-35: T_epoch: 28 |loss 1.374201 | hm_loss 0.290368 | wh_loss 2.901375 | off_loss 0.237094 | id_loss 2.270625 | time 5.900000 | 
2023-04-01-23-41: T_epoch: 29 |loss 1.355380 | hm_loss 0.304145 | wh_loss 2.884315 | off_loss 0.236063 | id_loss 2.223202 | time 5.866667 | 
2023-04-01-23-47: T_epoch: 30 |loss 1.282909 | hm_loss 0.269980 | wh_loss 2.787726 | off_loss 0.237391 | id_loss 2.124713 | time 5.816667 | 
2023-04-01-23-48: V_epoch: 30 |loss 9.744980 | hm_loss 3.961132 | wh_loss 6.961622 | off_loss 0.252581 | id_loss 20.074574 | time 0.716667 | 
2023-04-01-23-53: T_epoch: 31 |loss 1.078079 | hm_loss 0.192853 | wh_loss 2.375618 | off_loss 0.232384 | id_loss 1.761949 | time 5.733333 | 
2023-04-01-23-59: T_epoch: 32 |loss 1.005582 | hm_loss 0.149165 | wh_loss 2.282195 | off_loss 0.230306 | id_loss 1.659144 | time 5.800000 | 
2023-04-02-00-05: T_epoch: 33 |loss 0.963669 | hm_loss 0.136187 | wh_loss 2.225170 | off_loss 0.229635 | id_loss 1.567940 | time 5.866667 | 
2023-04-02-00-06: V_epoch: 33 |loss 9.282704 | hm_loss 3.915820 | wh_loss 5.793865 | off_loss 0.258647 | id_loss 18.863903 | time 0.700000 | 
2023-04-02-00-12: T_epoch: 34 |loss 0.940098 | hm_loss 0.125131 | wh_loss 2.159924 | off_loss 0.227739 | id_loss 1.539428 | time 5.750000 | 
2023-04-02-00-17: T_epoch: 35 |loss 0.932981 | hm_loss 0.124713 | wh_loss 2.172852 | off_loss 0.228578 | id_loss 1.511953 | time 5.800000 | 
2023-04-02-00-23: T_epoch: 36 |loss 0.890862 | hm_loss 0.114136 | wh_loss 2.122057 | off_loss 0.227272 | id_loss 1.415503 | time 5.883333 | 
2023-04-02-00-24: V_epoch: 36 |loss 9.617426 | hm_loss 4.065740 | wh_loss 5.813727 | off_loss 0.261834 | id_loss 19.389684 | time 0.666667 | 
2023-04-02-00-30: T_epoch: 37 |loss 0.874960 | hm_loss 0.104203 | wh_loss 2.090060 | off_loss 0.225316 | id_loss 1.402970 | time 5.800000 | 
